@T,climate,
name,breakpoint,
desc,measured breakpoint precipitation,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
unit,mm,
,,
@H,time,B_OldFlowers
ID,-,79
elevation,-,2605.707442
x,-,452678.3
y,-,4498634.9
,29.05.2022 18:50:00,1.016
,31.05.2022 15:20:00,1.016
,31.05.2022 16:30:00,1.016
,31.05.2022 17:20:00,1.016
,01.06.2022 10:00:00,1.016
,01.06.2022 10:10:00,2.032
,01.06.2022 10:20:00,2.032
,01.06.2022 10:30:00,1.016
,01.06.2022 10:40:00,1.016
,01.06.2022 10:50:00,2.032
,01.06.2022 11:00:00,1.016
,01.06.2022 11:10:00,1.016
,01.06.2022 11:20:00,2.032
,01.06.2022 11:30:00,1.016
,01.06.2022 11:40:00,2.032
,01.06.2022 12:00:00,1.016
,01.06.2022 12:10:00,1.016
,06.06.2022 16:00:00,1.016
,06.06.2022 16:20:00,1.016
,07.06.2022 02:00:00,1.016
,07.06.2022 02:10:00,1.016
,17.06.2022 18:10:00,1.016
,17.06.2022 18:20:00,1.016
,26.06.2022 14:20:00,1.016
,26.06.2022 14:40:00,1.016
,26.06.2022 17:40:00,1.016
,30.06.2022 21:30:00,1.016
,03.07.2022 18:40:00,1.016
,03.07.2022 19:10:00,1.016
,05.07.2022 12:20:00,1.016
,05.07.2022 14:50:00,1.016
,05.07.2022 15:00:00,1.016
,05.07.2022 15:20:00,3.048
,05.07.2022 15:30:00,1.016
,05.07.2022 15:40:00,1.016
,05.07.2022 22:30:00,1.016
,06.07.2022 06:40:00,1.016
,06.07.2022 07:00:00,1.016
,06.07.2022 08:00:00,1.016
,06.07.2022 15:10:00,4.064
,06.07.2022 15:20:00,2.032
,13.07.2022 19:20:00,1.016
,14.07.2022 21:30:00,1.016
,15.07.2022 17:00:00,6.096
,15.07.2022 17:10:00,5.08
,15.07.2022 17:20:00,1.016
,15.07.2022 20:50:00,1.016
,15.07.2022 21:50:00,1.016
,15.07.2022 22:20:00,1.016
,15.07.2022 23:00:00,1.016
,15.07.2022 23:30:00,1.016
,16.07.2022 00:00:00,1.016
,16.07.2022 14:50:00,1.016
,16.07.2022 15:10:00,1.016
,16.07.2022 17:00:00,1.016
,23.07.2022 18:20:00,2.032
,23.07.2022 19:10:00,1.016
,23.07.2022 19:40:00,1.016
,23.07.2022 20:00:00,1.016
,24.07.2022 15:00:00,1.016
,24.07.2022 15:10:00,1.016
,24.07.2022 15:20:00,1.016
,27.07.2022 20:40:00,1.016
,28.07.2022 05:00:00,1.016
,01.08.2022 15:50:00,1.016
,13.08.2022 14:40:00,1.016
,14.08.2022 19:20:00,1.016
,14.08.2022 22:30:00,2.032
,15.08.2022 12:20:00,1.016
,15.08.2022 12:30:00,1.016
,15.08.2022 12:40:00,2.032
,15.08.2022 12:50:00,3.048
,15.08.2022 13:10:00,2.032
,15.08.2022 14:00:00,6.096
,15.08.2022 14:10:00,8.128
,15.08.2022 14:20:00,1.016
,15.08.2022 14:30:00,1.016
,15.08.2022 14:40:00,1.016
,15.08.2022 15:00:00,1.016
,15.08.2022 15:50:00,1.016
,15.08.2022 16:00:00,1.016
,15.08.2022 16:30:00,2.032
,15.08.2022 17:00:00,1.016
,15.08.2022 19:10:00,1.016
,15.08.2022 19:30:00,1.016
,15.08.2022 19:50:00,1.016
,15.08.2022 20:00:00,1.016
,21.08.2022 11:30:00,1.016
,21.08.2022 11:40:00,3.048
,21.08.2022 12:00:00,1.016
,23.08.2022 15:20:00,1.016
,24.08.2022 15:00:00,1.016
,25.08.2022 14:50:00,1.016
,26.08.2022 12:40:00,1.016
,27.08.2022 17:20:00,1.016
,09.09.2022 18:20:00,1.016
,09.09.2022 22:20:00,1.016
,10.09.2022 01:50:00,1.016
,10.09.2022 05:10:00,1.016
,11.09.2022 08:10:00,1.016
,14.09.2022 12:50:00,1.016
,14.09.2022 16:10:00,1.016
,14.09.2022 17:00:00,2.032
,14.09.2022 17:10:00,1.016
,14.09.2022 17:20:00,1.016
,16.09.2022 12:50:00,1.016
,18.09.2022 07:20:00,1.016
,21.09.2022 15:10:00,1.016
,21.09.2022 15:30:00,1.016
,21.09.2022 15:50:00,1.016
,21.09.2022 16:20:00,1.016
,21.09.2022 17:30:00,1.016
,21.09.2022 19:00:00,1.016
,21.09.2022 20:20:00,1.016
,21.09.2022 22:10:00,1.016
,22.09.2022 02:10:00,1.016
,27.09.2022 16:40:00,1.016
,04.10.2022 17:20:00,1.016
