@T,climate,
name,breakpoint,
desc,measured breakpoint precipitation,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
unit,mm,
,,
@H,time,MRMS_73
ID,-,73
elevation,-,3102.477093
x,-,444627
y,-,4500666.2
,02.01.2021 17:10:00,0.002822222
,02.01.2021 17:20:00,0.061383331
,02.01.2021 17:30:00,0.149930572
,02.01.2021 17:40:00,0.127000005
,02.01.2021 17:50:00,0.118180561
,02.01.2021 18:00:00,0.142875015
,02.01.2021 18:10:00,0.112888891
,02.01.2021 18:20:00,0.073730559
,02.01.2021 21:30:00,0.045155553
,03.01.2021 20:00:00,0.051152779
,03.01.2021 20:10:00,0.194027786
,03.01.2021 20:20:00,0.169333348
,03.01.2021 20:30:00,0.142875015
,03.01.2021 20:40:00,0.044450003
,03.01.2021 20:50:00,0.059972221
,03.01.2021 21:00:00,0.057150006
,03.01.2021 21:10:00,0.069850007
,03.01.2021 21:20:00,0.056091667
,03.01.2021 21:30:00,0.127705568
,03.01.2021 21:40:00,0.118886131
,03.01.2021 21:50:00,0.108302791
,03.01.2021 22:00:00,0.123119462
,03.01.2021 22:10:00,0.120650004
,03.01.2021 22:20:00,0.122061118
,03.01.2021 22:30:00,0.146755572
,03.01.2021 22:40:00,0.159808349
,03.01.2021 22:50:00,0.143933342
,03.01.2021 23:00:00,0.156986118
,03.01.2021 23:10:00,0.181680572
,03.01.2021 23:20:00,0.148519447
,03.01.2021 23:30:00,0.129116678
,03.01.2021 23:40:00,0.019050002
,05.01.2021 05:30:00,0.044450003
,05.01.2021 05:40:00,0.116769463
,05.01.2021 05:50:00,0.113594456
,05.01.2021 06:00:00,0.115358339
,05.01.2021 06:10:00,0.14605001
,05.01.2021 06:20:00,0.16933334
,05.01.2021 06:30:00,0.20108334
,05.01.2021 06:40:00,0.221544447
,05.01.2021 06:50:00,0.266700013
,05.01.2021 07:00:00,0.241300007
,05.01.2021 07:10:00,0.232833333
,05.01.2021 07:20:00,0.147461107
,05.01.2021 07:30:00,0.162630559
,05.01.2021 07:40:00,0.158397239
,05.01.2021 07:50:00,0.023283336
,05.01.2021 10:10:00,0.066674997
,05.01.2021 10:20:00,0.173566666
,05.01.2021 10:30:00,0.160161115
,05.01.2021 10:40:00,0.037041667
,05.01.2021 11:10:00,0.087136115
,05.01.2021 11:20:00,0.046919447
,05.01.2021 13:20:00,0.065263884
,05.01.2021 13:30:00,0.068791665
,05.01.2021 14:40:00,0.065969439
,05.01.2021 14:50:00,0.067027781
,05.01.2021 15:00:00,0.087488901
,05.01.2021 15:10:00,0.157691674
,05.01.2021 15:20:00,0.144638891
,05.01.2021 15:30:00,0.120650013
,05.01.2021 15:40:00,0.007761112
,05.01.2021 15:50:00,0.14746113
,05.01.2021 17:40:00,0.051152783
,05.01.2021 17:50:00,0.138288892
,05.01.2021 18:00:00,0.083961111
,05.01.2021 18:10:00,0.017286112
,05.01.2021 18:40:00,0.053975006
,05.01.2021 18:50:00,0.009525001
,05.01.2021 19:10:00,0.089958333
,05.01.2021 19:20:00,0.022577778
,05.01.2021 19:30:00,0.127352784
,07.01.2021 20:20:00,0.037041665
,07.01.2021 20:30:00,0.148872222
,07.01.2021 20:40:00,0.121355559
,07.01.2021 20:50:00,0.132644451
,07.01.2021 21:00:00,0.161925017
,07.01.2021 21:10:00,0.069850007
,09.01.2021 11:20:00,0.049388892
,09.01.2021 11:30:00,0.185208342
,09.01.2021 11:40:00,0.167569444
,09.01.2021 11:50:00,0.169333348
,09.01.2021 12:00:00,0.047625005
,09.01.2021 12:10:00,0.19050002
,09.01.2021 12:20:00,0.15875002
,09.01.2021 12:30:00,0.145344456
,09.01.2021 12:40:00,0.217663895
,09.01.2021 12:50:00,0.210961119
,09.01.2021 13:00:00,0.168627773
,09.01.2021 13:10:00,0.201788887
,09.01.2021 13:20:00,0.170391662
,09.01.2021 13:30:00,0.175683344
,09.01.2021 13:40:00,0.208844447
,09.01.2021 13:50:00,0.176741671
,09.01.2021 14:00:00,0.205316668
,09.01.2021 14:10:00,0.202494453
,09.01.2021 14:20:00,0.174625013
,09.01.2021 14:30:00,0.143933342
,09.01.2021 14:40:00,0.116063884
,09.01.2021 14:50:00,0.154869455
,09.01.2021 15:00:00,0.246238908
,09.01.2021 15:10:00,0.081138895
,09.01.2021 15:20:00,0.146402789
,09.01.2021 15:30:00,0.180974994
,09.01.2021 15:40:00,0.136525006
,09.01.2021 15:50:00,0.184149994
,09.01.2021 16:00:00,0.191205568
,09.01.2021 16:10:00,0.076552779
,09.01.2021 16:20:00,0.201083352
,09.01.2021 16:30:00,0.218722232
,09.01.2021 16:40:00,0.188736116
,09.01.2021 16:50:00,0.23636113
,09.01.2021 17:00:00,0.239888904
,09.01.2021 17:10:00,0.16792223
,09.01.2021 17:20:00,0.189794447
,09.01.2021 17:30:00,0.156280563
,09.01.2021 17:40:00,0.131233339
,09.01.2021 17:50:00,0.217311116
,09.01.2021 18:00:00,0.251530551
,09.01.2021 18:10:00,0.088899998
,09.01.2021 18:20:00,0.146755569
,09.01.2021 18:30:00,0.225777798
,09.01.2021 18:40:00,0.153811114
,09.01.2021 18:50:00,0.021166667
,09.01.2021 19:00:00,0.197908345
,09.01.2021 19:10:00,0.172861125
,09.01.2021 19:20:00,0.154516686
,09.01.2021 19:30:00,0.123472242
,09.01.2021 19:40:00,0.191558353
,09.01.2021 19:50:00,0.201083333
,09.01.2021 20:00:00,0.007055556
,09.01.2021 20:10:00,0.105833333
,09.01.2021 20:20:00,0.065263894
,09.01.2021 20:30:00,0.216958354
,09.01.2021 20:40:00,0.107597237
,09.01.2021 20:50:00,0.199319448
,09.01.2021 21:00:00,0.233186128
,09.01.2021 21:10:00,0.200025011
,09.01.2021 21:20:00,0.227541667
,09.01.2021 21:30:00,0.135819444
,09.01.2021 21:50:00,0.12841112
,09.01.2021 22:00:00,0.069144449
,13.01.2021 19:00:00,0.107950003
,13.01.2021 19:10:00,0.165805561
,13.01.2021 20:10:00,0.04092223
,13.01.2021 20:20:00,0.122061114
,13.01.2021 20:30:00,0.100541672
,13.01.2021 20:40:00,0.069497232
,13.01.2021 20:50:00,0.083961115
,13.01.2021 21:00:00,0.089605553
,13.01.2021 21:10:00,0.108655553
,13.01.2021 21:20:00,0.138641671
,13.01.2021 21:30:00,0.146402771
,13.01.2021 21:40:00,0.016933332
,13.01.2021 22:20:00,0.102305561
,13.01.2021 22:30:00,0.119944463
,13.01.2021 22:40:00,0.131938898
,13.01.2021 22:50:00,0.124177776
,13.01.2021 23:00:00,0.034924999
,13.01.2021 23:10:00,0.116769458
,13.01.2021 23:20:00,0.109008347
,13.01.2021 23:30:00,0.109713889
,13.01.2021 23:40:00,0.054327785
,16.01.2021 02:40:00,0.019050005
,16.01.2021 02:50:00,0.092780572
,16.01.2021 03:00:00,0.041980563
,16.01.2021 03:20:00,0.055033346
,16.01.2021 03:30:00,0.084666687
,16.01.2021 03:40:00,0.132644447
,16.01.2021 03:50:00,0.069144442
,16.01.2021 04:00:00,0.008466666
,16.01.2021 04:20:00,0.157691669
,16.01.2021 04:30:00,0.093133344
,16.01.2021 04:40:00,0.08008055
,16.01.2021 04:50:00,0.126294457
,16.01.2021 05:00:00,0.112888882
,16.01.2021 05:10:00,0.084666662
,16.01.2021 05:20:00,0.026105556
,16.01.2021 05:30:00,0.105480564
,16.01.2021 05:40:00,0.089958348
,16.01.2021 06:40:00,0.056091667
,16.01.2021 06:50:00,0.115711113
,16.01.2021 07:00:00,0.073730553
,16.01.2021 07:10:00,0.019755554
,17.01.2021 04:50:00,0.09525
,17.01.2021 05:00:00,0.116416667
,17.01.2021 05:20:00,0.087136115
,17.01.2021 05:30:00,0.111125007
,17.01.2021 05:40:00,0.034572225
,17.01.2021 14:00:00,0.055033346
,17.01.2021 14:10:00,0.02963334
,17.01.2021 18:50:00,0.068791667
,17.01.2021 19:00:00,0.037041667
,17.01.2021 19:20:00,0.082550009
,17.01.2021 19:30:00,0.127000013
,17.01.2021 19:40:00,0.156986125
,17.01.2021 19:50:00,0.090311107
,17.01.2021 20:00:00,0.107597216
,17.01.2021 20:10:00,0.106891666
,17.01.2021 20:20:00,0.015875
,17.01.2021 20:40:00,0.05750278
,17.01.2021 20:50:00,0.037041668
,17.01.2021 21:00:00,0.039863895
,17.01.2021 21:10:00,0.091369446
,17.01.2021 21:20:00,0.050800012
,17.01.2021 21:30:00,0.112183349
,17.01.2021 21:40:00,0.133350001
,17.01.2021 22:10:00,0.040569448
,17.01.2021 22:20:00,0.121708343
,17.01.2021 22:40:00,0.038100009
,17.01.2021 22:50:00,0.046566678
,17.01.2021 23:20:00,0.047625
,17.01.2021 23:30:00,0.101247227
