@T,climate,
name,precip.csv,
desc,breakpoint precip,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
tres,d,
unit,mm,
,,
@H,time,MRMS_16
ID,-,16
,02.01.2021 17:40:00,0.007055557
,02.01.2021 17:50:00,0.026458338
,02.01.2021 18:00:00,0.024694442
,02.01.2021 18:10:00,0.035277778
,02.01.2021 18:20:00,0.019402778
,02.01.2021 18:40:00,0.012700003
,02.01.2021 18:50:00,0.015522226
,03.01.2021 20:50:00,0.009524998
,03.01.2021 21:00:00,0.011641665
,03.01.2021 21:10:00,0.015875
,03.01.2021 21:20:00,0.019402778
,03.01.2021 21:30:00,0.009524998
,03.01.2021 21:40:00,0.011641665
,03.01.2021 21:50:00,0.012700003
,03.01.2021 22:00:00,0.030338891
,03.01.2021 22:10:00,0.042333343
,03.01.2021 22:20:00,0.040569449
,03.01.2021 22:30:00,0.073377789
,03.01.2021 22:40:00,0.119238898
,03.01.2021 22:50:00,0.1065389
,03.01.2021 23:00:00,0.064205562
,03.01.2021 23:10:00,0.071966663
,03.01.2021 23:20:00,0.065616671
,03.01.2021 23:30:00,0.039511112
,03.01.2021 23:40:00,0.009524999
,03.01.2021 23:50:00,0.023988893
,05.01.2021 05:40:00,0.007055557
,05.01.2021 05:50:00,0.037747227
,05.01.2021 06:00:00,0.049388892
,05.01.2021 06:10:00,0.052563889
,05.01.2021 06:20:00,0.056444444
,05.01.2021 06:30:00,0.046919443
,05.01.2021 06:40:00,0.035277778
,05.01.2021 06:50:00,0.034219446
,05.01.2021 07:00:00,0.04691945
,05.01.2021 07:10:00,0.040216668
,05.01.2021 07:20:00,0.012347222
,05.01.2021 12:50:00,0.001058333
,05.01.2021 13:00:00,0.015874997
,05.01.2021 13:20:00,0.008466667
,05.01.2021 13:30:00,0.011641669
,05.01.2021 13:40:00,0.042686115
,05.01.2021 13:50:00,0.013405557
,05.01.2021 15:20:00,0.001058333
,05.01.2021 15:30:00,0.02010833
,05.01.2021 15:50:00,0.001058333
,05.01.2021 16:00:00,0.021166663
,05.01.2021 16:10:00,0.015874997
,09.01.2021 07:40:00,0.008819444
,09.01.2021 07:50:00,0.037041669
,09.01.2021 08:00:00,0.044097231
,09.01.2021 08:10:00,0.052563889
,09.01.2021 08:20:00,0.056444441
,09.01.2021 08:30:00,0.053269444
,09.01.2021 08:40:00,0.036688889
,09.01.2021 08:50:00,0.011641665
,09.01.2021 11:10:00,0.001411111
,09.01.2021 11:20:00,0.026458338
,09.01.2021 11:30:00,0.021166663
,09.01.2021 11:40:00,0.024694442
,09.01.2021 11:50:00,0.038805556
,09.01.2021 12:00:00,0.044097226
,09.01.2021 12:10:00,0.03457223
,09.01.2021 12:20:00,0.039158339
,09.01.2021 12:30:00,0.038452782
,09.01.2021 12:40:00,0.039158339
,09.01.2021 12:50:00,0.041627779
,09.01.2021 13:00:00,0.049388892
,09.01.2021 13:10:00,0.049388892
,09.01.2021 13:20:00,0.044802786
,09.01.2021 13:30:00,0.04691945
,09.01.2021 13:40:00,0.049388892
,09.01.2021 13:50:00,0.043391676
,09.01.2021 14:00:00,0.04833056
,09.01.2021 14:10:00,0.040216668
,09.01.2021 14:20:00,0.035277778
,09.01.2021 14:30:00,0.035277778
,09.01.2021 14:40:00,0.035277778
,09.01.2021 14:50:00,0.035277778
,09.01.2021 15:00:00,0.041275009
,09.01.2021 15:10:00,0.04833056
,09.01.2021 15:20:00,0.04974167
,09.01.2021 15:30:00,0.056444441
,09.01.2021 15:40:00,0.055738886
,09.01.2021 15:50:00,0.041980565
,09.01.2021 16:00:00,0.04092223
,09.01.2021 16:10:00,0.035277778
,09.01.2021 16:20:00,0.034572225
,09.01.2021 16:30:00,0.021166663
,09.01.2021 16:40:00,0.021166663
,09.01.2021 16:50:00,0.022930555
,09.01.2021 17:00:00,0.033513895
,09.01.2021 17:10:00,0.038805561
,09.01.2021 17:20:00,0.035277778
,09.01.2021 17:30:00,0.032102781
,09.01.2021 17:40:00,0.031750004
,09.01.2021 17:50:00,0.039158339
,09.01.2021 18:00:00,0.044450002
,09.01.2021 18:10:00,0.058561117
,09.01.2021 18:20:00,0.058913889
,09.01.2021 18:30:00,0.047625005
