@T,climate,
name,precip.csv,
desc,breakpoint precip,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
tres,d,
unit,mm,
,,
@H,time,MRMS_11
ID,-,11
,02.01.2021 17:40:00,0.007055557
,02.01.2021 17:50:00,0.021166672
,02.01.2021 18:00:00,0.007055557
,02.01.2021 18:10:00,0.028222229
,02.01.2021 18:20:00,0.015522226
,02.01.2021 18:40:00,0.012700003
,02.01.2021 18:50:00,0.015522226
,03.01.2021 20:50:00,0.01128889
,03.01.2021 21:00:00,0.015522226
,03.01.2021 21:10:00,0.012700003
,03.01.2021 21:20:00,0.015522226
,03.01.2021 21:50:00,0.009524998
,03.01.2021 22:00:00,0.020813891
,03.01.2021 22:10:00,0.039158339
,03.01.2021 22:20:00,0.038100001
,03.01.2021 22:30:00,0.096308344
,03.01.2021 22:40:00,0.127000013
,03.01.2021 22:50:00,0.099483351
,03.01.2021 23:00:00,0.058913901
,03.01.2021 23:10:00,0.065969446
,03.01.2021 23:20:00,0.058561108
,03.01.2021 23:30:00,0.02645833
,03.01.2021 23:40:00,0.003174999
,03.01.2021 23:50:00,0.018344444
,05.01.2021 05:40:00,0.007055557
,05.01.2021 05:50:00,0.031397226
,05.01.2021 06:00:00,0.038100004
,05.01.2021 06:10:00,0.041627779
,05.01.2021 06:20:00,0.047625005
,05.01.2021 06:30:00,0.035983342
,05.01.2021 06:40:00,0.032808336
,05.01.2021 06:50:00,0.038805563
,05.01.2021 07:00:00,0.053974999
,05.01.2021 07:10:00,0.04268611
,05.01.2021 07:20:00,0.012347222
,05.01.2021 13:30:00,0.001411111
,05.01.2021 13:40:00,0.035630562
,05.01.2021 13:50:00,0.010936112
,05.01.2021 18:20:00,0.001058333
,05.01.2021 18:30:00,0.007408332
,09.01.2021 07:40:00,0.008819444
,09.01.2021 07:50:00,0.038805556
,09.01.2021 08:00:00,0.051152779
,09.01.2021 08:10:00,0.053269444
,09.01.2021 08:20:00,0.046213895
,09.01.2021 08:30:00,0.042333343
,09.01.2021 08:40:00,0.023283339
,09.01.2021 11:10:00,0.001763889
,09.01.2021 11:20:00,0.033513891
,09.01.2021 11:30:00,0.026458338
,09.01.2021 11:40:00,0.024694442
,09.01.2021 11:50:00,0.037041669
,09.01.2021 12:00:00,0.038805565
,09.01.2021 12:10:00,0.03457223
,09.01.2021 12:20:00,0.039511117
,09.01.2021 12:30:00,0.042333343
,09.01.2021 12:40:00,0.04550834
,09.01.2021 12:50:00,0.052563889
,09.01.2021 13:00:00,0.051858334
,09.01.2021 13:10:00,0.049388892
,09.01.2021 13:20:00,0.049388892
,09.01.2021 13:30:00,0.058561117
,09.01.2021 13:40:00,0.049741676
,09.01.2021 13:50:00,0.042333343
,09.01.2021 14:00:00,0.042333343
,09.01.2021 14:10:00,0.033161119
,09.01.2021 14:20:00,0.027869451
,09.01.2021 14:30:00,0.027516668
,09.01.2021 14:40:00,0.041275009
,09.01.2021 14:50:00,0.030338896
,09.01.2021 15:00:00,0.040216676
,09.01.2021 15:10:00,0.042333343
,09.01.2021 15:20:00,0.042686121
,09.01.2021 15:30:00,0.04974167
,09.01.2021 15:40:00,0.055386108
,09.01.2021 15:50:00,0.035277778
,09.01.2021 16:00:00,0.040569453
,09.01.2021 16:10:00,0.028222229
,09.01.2021 16:20:00,0.023988891
,09.01.2021 16:50:00,0.008819444
,09.01.2021 17:00:00,0.04021667
,09.01.2021 17:10:00,0.038805561
,09.01.2021 17:20:00,0.038452782
,09.01.2021 17:30:00,0.042333343
,09.01.2021 17:40:00,0.039863895
,09.01.2021 17:50:00,0.046213895
,09.01.2021 18:00:00,0.042333343
,09.01.2021 18:10:00,0.04691945
,09.01.2021 18:20:00,0.058561117
,09.01.2021 18:30:00,0.050094453
,09.01.2021 18:40:00,0.049388892
,09.01.2021 18:50:00,0.034219448
,09.01.2021 19:00:00,0.040216676
,09.01.2021 19:10:00,0.033161116
,09.01.2021 19:20:00,0.034572224
,09.01.2021 19:30:00,0.043391675
,09.01.2021 19:40:00,0.034925
,09.01.2021 19:50:00,0.028927785
,09.01.2021 20:00:00,0.042333343
,09.01.2021 20:10:00,0.042686121
,09.01.2021 20:20:00,0.049388892
