@T,climate,
name,precip.csv,
desc,breakpoint precip,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
tres,d,
unit,mm,
,,
@H,time,MRMS_33
ID,-,33
,02.01.2021 17:20:00,0.001058333
,02.01.2021 17:30:00,0.022930555
,02.01.2021 17:40:00,0.028222229
,02.01.2021 17:50:00,0.028222229
,02.01.2021 18:00:00,0.033513895
,02.01.2021 18:10:00,0.042333335
,02.01.2021 18:20:00,0.024341668
,02.01.2021 18:30:00,0.025047224
,02.01.2021 18:40:00,0.021166663
,02.01.2021 18:50:00,0.011641665
,02.01.2021 19:00:00,0.009524998
,02.01.2021 19:10:00,0.007408332
,03.01.2021 20:50:00,0.009524998
,03.01.2021 21:00:00,0.024341668
,03.01.2021 21:10:00,0.025047224
,03.01.2021 21:20:00,0.021166663
,03.01.2021 21:30:00,0.021166663
,03.01.2021 21:40:00,0.011641665
,03.01.2021 21:50:00,0.009524998
,03.01.2021 22:00:00,0.037041663
,03.01.2021 22:10:00,0.043744446
,03.01.2021 22:20:00,0.037394453
,03.01.2021 22:30:00,0.085019447
,03.01.2021 22:40:00,0.124177782
,03.01.2021 22:50:00,0.079022227
,03.01.2021 23:00:00,0.063147223
,03.01.2021 23:10:00,0.103716664
,03.01.2021 23:20:00,0.040922227
,03.01.2021 23:30:00,0.004233334
,03.01.2021 23:40:00,0.012699998
,04.01.2021 00:00:00,0.001411111
,04.01.2021 00:10:00,0.026811117
,05.01.2021 05:40:00,0.007055557
,05.01.2021 05:50:00,0.03457223
,05.01.2021 06:00:00,0.045155563
,05.01.2021 06:10:00,0.061383348
,05.01.2021 06:20:00,0.073377786
,05.01.2021 06:30:00,0.049741665
,05.01.2021 06:40:00,0.044450002
,05.01.2021 06:50:00,0.063147223
,05.01.2021 07:00:00,0.061383331
,05.01.2021 07:10:00,0.051858334
,05.01.2021 07:20:00,0.017286112
,05.01.2021 13:20:00,0.007055557
,05.01.2021 13:30:00,0.031044448
,05.01.2021 13:40:00,0.023988891
,05.01.2021 15:30:00,0.001058333
,05.01.2021 15:40:00,0.02010833
,05.01.2021 19:20:00,0.001058333
,05.01.2021 19:30:00,0.02010833
,09.01.2021 07:50:00,0.005291666
,09.01.2021 08:00:00,0.022930555
,09.01.2021 08:10:00,0.040922224
,09.01.2021 08:20:00,0.059619446
,09.01.2021 08:30:00,0.05362223
,09.01.2021 08:40:00,0.028927776
,09.01.2021 08:50:00,0.011641665
,09.01.2021 11:10:00,0.001411111
,09.01.2021 11:20:00,0.026458338
,09.01.2021 11:30:00,0.021166663
,09.01.2021 11:40:00,0.015874997
,09.01.2021 11:50:00,0.007055557
,09.01.2021 12:00:00,0.028222229
,09.01.2021 12:10:00,0.025047224
,09.01.2021 12:20:00,0.030691669
,09.01.2021 12:30:00,0.042333343
,09.01.2021 12:40:00,0.035983342
,09.01.2021 12:50:00,0.029633339
,09.01.2021 13:00:00,0.037394453
,09.01.2021 13:10:00,0.051505557
,09.01.2021 13:20:00,0.051858334
,09.01.2021 13:30:00,0.044802786
,09.01.2021 13:40:00,0.04691945
,09.01.2021 13:50:00,0.06138334
,09.01.2021 14:00:00,0.04586112
,09.01.2021 14:10:00,0.049388892
,09.01.2021 14:20:00,0.040216668
,09.01.2021 14:30:00,0.030691671
,09.01.2021 14:40:00,0.028222229
,09.01.2021 14:50:00,0.022224998
,09.01.2021 15:00:00,0.027163894
,09.01.2021 15:10:00,0.035630559
,09.01.2021 15:20:00,0.035277778
,09.01.2021 15:30:00,0.035277778
,09.01.2021 15:40:00,0.035277778
,09.01.2021 15:50:00,0.036336111
,09.01.2021 16:00:00,0.06103056
,09.01.2021 16:10:00,0.035630556
,09.01.2021 16:20:00,0.040569452
,09.01.2021 16:30:00,0.031749999
,09.01.2021 16:40:00,0.015874997
,09.01.2021 17:00:00,0.008819444
,09.01.2021 17:10:00,0.041980557
,09.01.2021 17:20:00,0.062794443
,09.01.2021 17:30:00,0.05785556
,09.01.2021 17:40:00,0.04550834
,09.01.2021 17:50:00,0.044802786
,09.01.2021 18:00:00,0.04691945
,09.01.2021 18:10:00,0.06773333
,09.01.2021 18:20:00,0.082197233
,09.01.2021 18:30:00,0.075494452
