@T,climate,,,,,,,,,,,,,
description,Synchronized storm breakpoint data,,,,,,,,,,,,,
missing_value,-9999,,,,,,,,,,,,,
date_format,uuuu-MM-dd HH:mm:ss,,,,,,,,,,,,,
date_start,1/2/2021 16:00,,,,,,,,,,,,,
date_end,12/31/2022 16:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,time,B_BenCulv,B_OldFlowers,B_SaltCabin,B_ME,B_MM,B_MW,B_UE,MRMS_17,MRMS_18,MRMS_41,MRMS_44,MRMS_73,MRMS_8
,1/16/2021 2:00,0,0,0,0,0,0,0,0,0,0,0,0.15381114,0
,1/16/2021 3:00,0,0,0,0,0,0,0,0,0,0.070555555,0.008466665,0.349955588,0
,1/16/2021 4:00,0,0,0,0,0,0,0,0.022577774,0.019402777,0.083255572,0.045155564,0.570088902,0.021166663
,1/16/2021 5:00,0,0,0,0,0,0,0,0.002822222,0.014463888,0.042333335,0.019755559,0.30621113,0.002822223
,1/16/2021 6:00,0,0,0,0,0,0,0,0,0,0.01693333,0,0.245533333,0
,1/16/2021 7:00,0,0,0,0,0,0,0,0,0,0,0,0.019755554,0
,1/17/2021 4:00,0,0,0,0,0,0,0,0,0,0.00458611,0,0.211666667,0
,1/17/2021 5:00,0,0,0,0,0,0,0,0,0,0.075847209,0,0.232833347,0
,1/17/2021 13:00,0,0,0,0,0,0,0,0,0,0.013758331,0.025399995,0.055033346,0
,1/17/2021 14:00,0,0,0,0,0,0,0,0,0,0.007408332,0,0.02963334,0
,1/17/2021 18:00,0,0,0,0,0,0,0,0,0,0,0,0.105833334,0
,1/17/2021 19:00,0,0,0,0,0,0,0,0,0,0.107244453,0,0.56444447,0
,1/17/2021 20:00,0,0,0,0,0,0,0,0,0,0.060324996,0,0.257175009,0.007055556
,1/17/2021 21:00,0,0,0,0,0,0,0,0,0,0.118886121,0.012699998,0.387702808,0.035277774
,1/17/2021 22:00,0,0,0,0,0,0,0,0,0,0.055033329,0,0.246944478,0
,1/17/2021 23:00,0,0,0,0,0,0,0,0.029633335,0.023636113,0.128411127,0.060325003,0.370063932,0.015169448
,1/18/2021 0:00,0,0,0,0,0,0,0,0.104422234,0.037041668,0.214841677,0.12735279,0.660400047,0.069497215
,1/18/2021 1:00,0,0,0,0,0,0,0,0.211666703,0.176036103,0.248002801,0.304447234,0.829380595,0.172155558
,1/18/2021 2:00,0,0,0,0,0,0,0,0.640997286,0.555625032,0.36688889,0.607836134,0.877358382,0.427919456
,1/18/2021 3:00,0,0,0,0,0,0,0,0.073024993,0.048683338,0.064911113,0.047272228,0.581730605,0.099836123
,1/18/2021 4:00,0,0,0,0,0,0,0,0.021166663,0.021166663,0.021166663,0.022577783,0,0.042333326
,1/18/2021 7:00,0,0,0,0,0,0,0,0,0.004233333,0,0,0,0
,1/18/2021 9:00,0,0,0,0,0,0,0,0,0,0,0.012699998,0,0
,1/18/2021 10:00,0,0,0,0,0,0,0,0.026458329,0.006350002,0.091722244,0.030691661,0.1128889,0.009524998
,1/18/2021 11:00,0,0,0,0,0,0,0,0.038452777,0.071261119,0.062441662,0.047389809,0,0.130175003
,1/18/2021 12:00,0,0,0,0,0,0,0,0.060677776,0.09101667,0.013758331,0.075729635,0,0.125588892
,1/18/2021 13:00,0,0,0,0,0,0,0,0.128411135,0.096661117,0.163688909,0.166511115,0.31891115,0.083255558
,1/18/2021 14:00,0,0,0,0,0,0,0,0,0,0.160866685,0.047624992,0.025399998,0
,1/18/2021 15:00,0,0,0,0,0,0,0,0,0,0.050799993,0.02010833,0.076200006,0
,1/18/2021 16:00,0,0,0,0,0,0,0,0,0,0,0,0.119944465,0
,1/20/2021 23:00,0,0,0,0,0,0,0,0,0,0,0,0.204611117,0
,1/21/2021 0:00,0,0,0,0,0,0,0,0,0,0.030691661,0,0.402872234,0
