@T,temporal_additional,,,,,,,,,,,,,,,,,,,,,,,,
name,temporal_additional.csv,,,,,,,,,,,,,,,,,,,,,,,,
description,additional temporal parameters,,,,,,,,,,,,,,,,,,,,,,,,
context-type,temporal,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
unit,m3/s,,,,,,,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,,,,,,,,
date_start,1/2/2021 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_end,12/31/2022 0:00,,,,,,,,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
@H,date,enableSubDaily,B_ME,B_MM,B_MW,B_UE,B_UW,MRMS_12,MRMS_13,MRMS_17,MRMS_18,,MRMS_11,,MRMS_16,,,MRMS_19,MRMS_21,MRMS_22,MRMS_23,MRMS_27,MRMS_28,MRMS_32,MRMS_33
,8/18/2021 23:00,,0,0,0,0,0.2,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,8/19/2021 0:00,,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0.022577776,0,0,0,0,0,0
,8/19/2021 2:00,,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0.094544466,0,0,0,0,0,0
,8/19/2021 3:00,,0,0,0,0,0,0,0.088900016,0,0.086077797,,0,,0,,,0.183444438,0.076200013,0,0,0,0,0,0
,8/19/2021 7:00,,0.3,0,0,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0
,8/19/2021 10:00,,0,0,0,0,0,0.338666681,0.440266701,0.327377799,0.417688905,,0.313266668,,0.241300028,,,0.460022245,0.309033365,0.273755571,0.309033346,0.273755571,0.272344467,0.174977779,0.237066666
,8/19/2021 11:00,,0,0,0,0,0,0,0,0,0,,0.029633335,,0.016933337,,,0,0,0,0,0,0,0,0
,8/19/2021 12:00,,0,0,0,0,0,0.090311119,0.069144449,0.038100004,0.069144449,,0.079022218,,0.100188894,,,0.059266671,0.100188887,0.08325556,0.036688891,0.08325556,0.033866664,0.021166666,0.029633335
,8/19/2021 14:00,,0,0,0,0,0,0.217311122,0.15522224,0.159455564,0.135466679,,0.191911117,,0.193322229,,,0.090311116,0.180622231,0.115711122,0.143933341,0.115711122,0.124177784,0.087488893,0.070555559
,8/19/2021 16:00,,2.7,0,0,0,0.3,1.473552792,1.275291698,1.564216709,1.232958366,,0.912283328,,0.443088912,,,1.2798778,0.628650015,0.762000002,1.627011143,0.778933333,1.061861134,0.545747245,0.646994459
