# hrus.csv created Fri, 16 Jun 2023, 18:14:47 called by HRU-delin
@T,hrus,
name,hrus.csv,
descr,hrus input parameter file,
,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,subcatch,
min,0,-180,-90,0,0,0,0,0,0,0,0,0,0,
max,9999,180,90,10000,9999999999,3,90,360,999999,9999,9999,9999,99999,
unit,n/a,longitude,latitude,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,n/a,
,71,-105.54043869,40.66498624,2448,33500,1,19.142,177,0,0,2,0,2,,
,72,-105.54273132,40.66542498,2444,59600,1,11.618,11,0,0,2,0,4,,
,73,-105.57991137,40.66485999,2576,53900,1,15.876,219,0,0,2,0,5,,
,74,-105.55031893,40.66467562,2453,32500,1,5.589,-39,0,0,2,0,7,,
,75,-105.54779104,40.66516063,2466,33700,1,10.331,198,0,0,1,0,7,,
,76,-105.54528583,40.6645038,2469,22900,1,12.565,275,0,0,2,0,12,,
,77,-105.58374406,40.66518533,2612,21300,1,22.349,41,0,0,1,0,5,,
,78,-105.53842183,40.66466348,2489,28000,1,16.51,225,0,0,2,0,12,,
,79,-105.6058594,40.66103618,2806,230100,1,17.22,139,0,0,1,0,9,,
,80,-105.58569831,40.66326008,2631,53200,1,22.144,-13,0,0,3,0,10,,
,81,-105.59170462,40.66573485,2720,40700,1,19.407,93,0,0,3,0,5,,
,82,-105.61296396,40.66551837,2751,28300,1,7.37,-24,0,0,2,0,6,,
,83,-105.59845024,40.66464366,2784,62500,1,20.822,37,0,0,3,0,1,,
,84,-105.60781537,40.66305435,2741,53000,1,10.022,-14,0,0,1,0,9,,
,85,-105.59368459,40.66359402,2743,47200,1,7.446,306,0,0,3,0,10,,
,86,-105.5449232,40.6636501,2446,78000,1,11.724,285,0,0,2,0,12,,
,87,-105.60586119,40.66391637,2740,36000,1,16.583,135,0,0,2,0,9,,
,88,-105.59124025,40.66217987,2698,328300,1,15.868,299,0,1,3,0,10,,
,89,-105.57541923,40.66363103,2566,91400,1,8.561,-2,0,0,2,0,8,,
,90,-105.58289381,40.6632007,2579,61700,1,16.806,-20,0,1,3,0,10,,
,91,-105.61507483,40.66330662,2765,30000,1,15.588,-37,0,0,1,0,6,,
,92,-105.61109153,40.66284078,2772,58300,1,14.254,105,0,0,1,0,6,,
,93,-105.57275621,40.66430105,2563,26000,1,14.115,281,0,0,2,0,8,,
,94,-105.56659836,40.66311521,2512,243500,1,8.349,284,0,0,2,0,17,,
,95,-105.54898135,40.66260875,2458,64000,1,17.771,159,0,0,2,0,7,,
,96,-105.54185077,40.66222541,2409,27100,1,7.218,-29,0,0,2,0,12,,
,97,-105.53991695,40.6624434,2430,68500,1,13.876,210,0,0,2,0,12,,
,98,-105.60022092,40.66396092,2832,30300,1,15.894,83,0,0,3,0,1,,
,99,-105.55276626,40.66285618,2447,43900,1,10.294,275,0,0,2,0,14,,
,100,-105.59964533,40.66307066,2827,26800,1,18.947,292,0,0,3,0,10,,
,101,-105.598629,40.66161004,2791,110900,1,15.131,-14,0,0,3,0,10,,
,102,-105.57884197,40.66336247,2569,25100,1,14.74,255,0,0,2,0,16,,
,103,-105.57795429,40.66129689,2537,58800,1,17.687,252,0,0,2,0,16,,
,104,-105.55035026,40.66293125,2436,23200,1,11.469,309,0,0,2,0,7,,
,105,-105.55888625,40.66346344,2498,50200,1,11.558,-34,0,0,2,0,14,,
,106,-105.54683027,40.66167565,2477,49200,1,15.522,0,0,0,2,0,12,,
,107,-105.63248474,40.66234217,2913,74600,1,14.075,281,0,0,3,0,13,,
,108,-105.63450369,40.66305341,2938,25500,1,12.098,278,0,0,2,0,13,,
,109,-105.6111514,40.66442822,2725,41300,1,9.946,109,0,0,1,0,6,,
,110,-105.61384717,40.66183232,2773,28900,1,22.054,120,0,0,1,0,6,,
,111,-105.56241417,40.66396295,2493,58300,1,8.089,-12,0,0,2,0,3,,
,112,-105.55554372,40.66336235,2471,36600,1,7.64,-28,0,0,2,0,14,,
,113,-105.53348979,40.66248732,2435,104000,1,14.078,284,0,0,2,0,11,,
,114,-105.61658818,40.66169164,2767,37300,1,9.725,73,0,0,1,0,6,,
,115,-105.62173459,40.66196507,2814,70400,1,20.573,312,0,0,2,0,6,,
,116,-105.57746686,40.66245909,2571,21000,1,11.118,269,0,0,2,0,16,,
,117,-105.60627746,40.66180056,2792,30100,1,24.333,135,0,0,2,0,9,,
,118,-105.54357212,40.66094415,2421,130400,1,13.201,0,0,0,2,0,12,,
,119,-105.57221399,40.66230521,2524,87300,1,12.25,280,0,0,2,0,8,,
,120,-105.56357429,40.66270549,2487,20100,1,10.72,290,0,0,2,0,17,,
,121,-105.61022884,40.66153406,2775,62800,1,14.518,-20,0,0,2,0,9,,
,122,-105.57461301,40.66119296,2522,34000,1,14.454,291,0,0,2,0,8,,
,123,-105.63789871,40.66161852,2942,119500,1,7.524,10,0,0,3,0,13,,
,124,-105.58042297,40.66088088,2566,122000,1,14.063,23,0,1,3,0,16,,
,125,-105.58330496,40.66058172,2618,26600,1,11.812,-21,0,0,2,0,16,,
,126,-105.55565935,40.66181927,2450,87400,1,11.411,314,0,0,2,0,14,,
,127,-105.53728187,40.66199957,2433,39100,1,7.445,260,0,0,2,0,11,,
,128,-105.52850532,40.66185489,2471,38500,1,13.082,132,0,0,3,0,11,,
,129,-105.53107614,40.65908339,2423,164200,1,13.826,185,0,0,2,0,11,,
,130,-105.58514025,40.66127933,2615,40100,1,15.154,118,0,1,3,0,10,,
,131,-105.55068364,40.66076519,2445,48800,1,21.974,199,0,0,1,0,14,,
,132,-105.61333966,40.66009117,2814,31500,1,6.762,0,0,0,2,0,9,,
,133,-105.55921386,40.66137963,2463,29100,1,13.17,268,0,0,1,0,14,,
,134,-105.6308543,40.6605224,2875,99600,1,15.342,253,0,0,3,0,13,,
,135,-105.61429162,40.66057024,2806,21600,1,13.453,91,0,0,2,0,6,,
,136,-105.60274388,40.6610734,2847,32500,1,13.505,288,0,0,3,0,10,,
,137,-105.58791117,40.6606169,2641,51100,1,17.089,97,0,1,3,0,10,,
,138,-105.57114429,40.66123948,2498,34100,1,5.407,296,0,0,1,0,8,,
,139,-105.61039179,40.65962536,2767,33300,1,3.913,25,0,0,1,0,9,,
,140,-105.53459201,40.66095838,2411,36300,1,8.084,-32,0,0,2,0,11,,
,141,-105.62038474,40.66118261,2796,85800,1,12.667,42,0,0,1,0,6,,
,142,-105.56714359,40.660306,2485,22200,1,16.227,306,0,0,1,0,17,,
,143,-105.56331288,40.65967667,2480,73800,1,13.737,92,0,0,2,0,17,,
,144,-105.61464775,40.65578163,2822,302000,1,7.4,55,0,0,1,0,9,,
,145,-105.55520984,40.66047239,2447,38000,1,14.748,64,0,0,2,0,14,,
,146,-105.59840942,40.66140986,2785,26300,1,7.863,-3,0,0,3,0,10,,
,147,-105.57014523,40.659356,2509,40900,1,13.605,118,0,1,3,0,15,,
,148,-105.61848102,40.65898384,2837,157200,1,12.826,73,0,0,2,0,6,,
,149,-105.57283251,40.66041693,2509,26000,1,13.328,85,0,0,2,0,8,,
,150,-105.60160392,40.66017131,2806,29100,1,20.09,290,0,0,3,0,10,,
,151,-105.59953872,40.65960236,2781,40700,1,9.74,301,0,0,3,0,10,,
,152,-105.56492629,40.66086871,2484,34800,1,14.2,298,0,0,2,0,17,,
,153,-105.53797566,40.66017043,2418,37900,1,13.891,0,0,0,2,0,11,,
,154,-105.62686217,40.66053919,2845,22700,1,25.341,279,0,0,2,0,13,,
,155,-105.52861546,40.66034806,2475,47500,1,14.371,191,0,0,2,0,11,,
,156,-105.52660732,40.65952745,2498,24200,1,12.822,230,0,0,2,0,22,,
,157,-105.54761249,40.660218,2478,21700,1,24.325,290,0,0,2,0,12,,
,158,-105.63842365,40.659392,2968,301300,1,14.579,58,0,0,3,0,13,,
,159,-105.53973556,40.65974796,2408,34900,1,24.287,202,0,0,2,0,12,,
,160,-105.53602459,40.66013711,2406,54600,1,14.236,301,0,0,2,0,11,,
,161,-105.60602147,40.65990374,2819,27600,1,12.665,131,0,0,1,0,9,,
,162,-105.60432188,40.6590579,2817,49200,1,13.742,309,0,0,2,0,10,,
,163,-105.58826656,40.65971301,2655,22900,1,8.29,310,0,0,3,0,16,,
,164,-105.62868945,40.66011101,2840,54900,1,7.396,0,0,0,1,0,13,,
,165,-105.61415418,40.65852342,2809,65900,1,13.411,-32,0,0,2,0,9,,
,166,-105.57525583,40.65906806,2540,63700,1,7.117,46,0,0,3,0,8,,
,167,-105.62162651,40.65896299,2850,45200,1,10.976,114,0,0,2,0,6,,
,168,-105.59235953,40.66029673,2683,63600,1,9.886,41,0,1,3,0,10,,
,169,-105.58910826,40.65866005,2643,151400,1,15.356,298,0,1,3,0,16,,
,170,-105.55696096,40.65990985,2455,53900,1,14.228,79,0,0,3,0,14,,
,171,-105.55369127,40.65880085,2449,75500,1,11.874,285,0,0,2,0,18,,
,172,-105.5510831,40.66010914,2422,25100,1,19.393,18,0,0,1,0,14,,
,173,-105.56769319,40.65914195,2498,46000,1,13.494,12,0,0,3,0,17,,
,174,-105.54617163,40.65956058,2428,28200,1,25.855,287,0,0,2,0,12,,
,175,-105.5352495,40.65819902,2386,49800,1,12.048,139,0,0,2,0,11,,
,176,-105.62393448,40.65766605,2855,67900,1,12.149,154,0,0,1,0,19,,
,177,-105.62115598,40.66036602,2820,37100,1,18.91,115,0,0,1,0,6,,
