ID,X,Y
1,-105.55322195,40.67358133
2,-105.54487517,40.67128963
3,-105.54909189,40.67285308
4,-105.59972437,40.67194538
5,-105.58525883,40.67068234
6,-105.5544582,40.66898361
7,-105.55175661,40.6714777
8,-105.59316558,40.67290848
9,-105.58694668,40.66995702
10,-105.59700131,40.670912
11,-105.55891578,40.67080526
12,-105.59753086,40.67262642
13,-105.58755698,40.67174072
14,-105.5606104,40.67113707
15,-105.52798718,40.67031931
16,-105.53078156,40.67026814
17,-105.56605739,40.67031823
18,-105.5633189,40.66687574
19,-105.53336037,40.66830116
20,-105.59758396,40.66871235
21,-105.60330089,40.66939244
22,-105.57062965,40.6688321
23,-105.53516838,40.66955171
24,-105.60613782,40.66860448
25,-105.5748137,40.66856623
26,-105.55263415,40.66872701
27,-105.53020977,40.66739493
28,-105.59878721,40.67038998
29,-105.56877164,40.67028239
30,-105.6039348,40.66820129
31,-105.59024814,40.66922728
32,-105.52821651,40.66904316
33,-105.5900348,40.66845931
34,-105.59476965,40.66847948
35,-105.57581216,40.66632134
36,-105.53779532,40.66854322
37,-105.61304643,40.66624297
38,-105.54000878,40.66959118
39,-105.60145174,40.66781678
40,-105.5513275,40.66763034
41,-105.53782463,40.66743706
42,-105.54181914,40.66945177
43,-105.59071843,40.66700794
44,-105.54510475,40.66681913
45,-105.54849441,40.66744365
46,-105.58443512,40.66608377
47,-105.57252192,40.66736325
48,-105.55799636,40.66826518
49,-105.54175147,40.66742636
50,-105.58254445,40.66742137
51,-105.6099021,40.66630217
52,-105.59474463,40.66564237
53,-105.56947793,40.66608373
54,-105.58800379,40.66571504
55,-105.60561549,40.66565916
56,-105.60039374,40.66576682
57,-105.56702117,40.66792408
58,-105.59747932,40.66687894
59,-105.60303293,40.66665808
60,-105.53349571,40.66633358
61,-105.58242068,40.66643072
62,-105.5565427,40.66684808
63,-105.53573547,40.66592269
64,-105.52818157,40.66339478
65,-105.60947549,40.66467549
66,-105.55591168,40.66452551
67,-105.55476554,40.6654743
68,-105.53749136,40.66578452
69,-105.53302073,40.66443811
70,-105.58637674,40.66585065
71,-105.54043869,40.66498624
72,-105.54273132,40.66542498
73,-105.57991137,40.66485999
74,-105.55031893,40.66467562
75,-105.54779104,40.66516063
76,-105.54528583,40.6645038
77,-105.58374406,40.66518533
78,-105.53842183,40.66466348
79,-105.6058594,40.66103618
80,-105.58569831,40.66326008
81,-105.59170462,40.66573485
82,-105.61296396,40.66551837
83,-105.59845024,40.66464366
84,-105.60781537,40.66305435
85,-105.59368459,40.66359402
86,-105.5449232,40.6636501
87,-105.60586119,40.66391637
88,-105.59124025,40.66217987
89,-105.57541923,40.66363103
90,-105.58289381,40.6632007
91,-105.61507483,40.66330662
92,-105.61109153,40.66284078
93,-105.57275621,40.66430105
94,-105.56659836,40.66311521
95,-105.54898135,40.66260875
96,-105.54185077,40.66222541
97,-105.53991695,40.6624434
98,-105.60022092,40.66396092
99,-105.55276626,40.66285618
100,-105.59964533,40.66307066
101,-105.598629,40.66161004
102,-105.57884197,40.66336247
103,-105.57795429,40.66129689
104,-105.55035026,40.66293125
105,-105.55888625,40.66346344
106,-105.54683027,40.66167565
107,-105.63248474,40.66234217
108,-105.63450369,40.66305341
109,-105.6111514,40.66442822
110,-105.61384717,40.66183232
111,-105.56241417,40.66396295
112,-105.55554372,40.66336235
113,-105.53348979,40.66248732
114,-105.61658818,40.66169164
115,-105.62173459,40.66196507
116,-105.57746686,40.66245909
117,-105.60627746,40.66180056
118,-105.54357212,40.66094415
119,-105.57221399,40.66230521
120,-105.56357429,40.66270549
121,-105.61022884,40.66153406
122,-105.57461301,40.66119296
123,-105.63789871,40.66161852
124,-105.58042297,40.66088088
125,-105.58330496,40.66058172
126,-105.55565935,40.66181927
127,-105.53728187,40.66199957
128,-105.52850532,40.66185489
129,-105.53107614,40.65908339
130,-105.58514025,40.66127933
131,-105.55068364,40.66076519
132,-105.61333966,40.66009117
133,-105.55921386,40.66137963
134,-105.6308543,40.6605224
135,-105.61429162,40.66057024
136,-105.60274388,40.6610734
137,-105.58791117,40.6606169
138,-105.57114429,40.66123948
139,-105.61039179,40.65962536
140,-105.53459201,40.66095838
141,-105.62038474,40.66118261
142,-105.56714359,40.660306
143,-105.56331288,40.65967667
144,-105.61464775,40.65578163
145,-105.55520984,40.66047239
146,-105.59840942,40.66140986
147,-105.57014523,40.659356
148,-105.61848102,40.65898384
149,-105.57283251,40.66041693
150,-105.60160392,40.66017131
151,-105.59953872,40.65960236
152,-105.56492629,40.66086871
153,-105.53797566,40.66017043
154,-105.62686217,40.66053919
155,-105.52861546,40.66034806
156,-105.52660732,40.65952745
157,-105.54761249,40.660218
158,-105.63842365,40.659392
159,-105.53973556,40.65974796
160,-105.53602459,40.66013711
161,-105.60602147,40.65990374
162,-105.60432188,40.6590579
163,-105.58826656,40.65971301
164,-105.62868945,40.66011101
165,-105.61415418,40.65852342
166,-105.57525583,40.65906806
167,-105.62162651,40.65896299
168,-105.59235953,40.66029673
169,-105.58910826,40.65866005
170,-105.55696096,40.65990985
171,-105.55369127,40.65880085
172,-105.5510831,40.66010914
173,-105.56769319,40.65914195
174,-105.54617163,40.65956058
175,-105.5352495,40.65819902
176,-105.62393448,40.65766605
177,-105.62115598,40.66036602
178,-105.59470086,40.65649543
179,-105.62831391,40.65721192
180,-105.54770954,40.65899101
181,-105.57807408,40.65863096
182,-105.55775007,40.65505581
183,-105.6281585,40.65925941
184,-105.56168137,40.65888978
185,-105.55862815,40.65853598
186,-105.60370349,40.65741706
187,-105.58278732,40.65868848
188,-105.55223735,40.6581009
189,-105.54177515,40.65907181
190,-105.63014788,40.65827522
191,-105.53795503,40.65791761
192,-105.5442791,40.65805644
193,-105.52798508,40.65690553
194,-105.64722984,40.6568428
195,-105.60688216,40.65744363
196,-105.59898067,40.65846974
197,-105.57401723,40.65804269
198,-105.54852501,40.65812482
199,-105.63377544,40.65760214
200,-105.59782165,40.65582385
201,-105.52606192,40.65852624
202,-105.51851636,40.65485104
203,-105.56547698,40.65417776
