ID,X,Y
341,-105.52454071,40.64992532
342,-105.6083662,40.64916728
343,-105.54771914,40.6494268
344,-105.53540734,40.64911091
345,-105.51779106,40.65020504
346,-105.58438991,40.64882037
347,-105.54322576,40.64705137
348,-105.53244443,40.6491297
349,-105.60796471,40.64792341
350,-105.58676019,40.6453665
351,-105.55490479,40.64790278
352,-105.54927264,40.64876609
353,-105.54803101,40.64807042
354,-105.54581265,40.64792289
355,-105.5375757,40.64886665
356,-105.59327009,40.64821845
357,-105.52754382,40.64888418
358,-105.52855912,40.6476468
359,-105.55114784,40.64792651
360,-105.65062129,40.64822032
361,-105.56078446,40.64623041
362,-105.52592602,40.6477114
363,-105.57614491,40.64789092
364,-105.61027956,40.64806939
365,-105.53667752,40.64794353
366,-105.53931686,40.64689041
367,-105.53306632,40.64694844
368,-105.6033491,40.6463425
369,-105.59222214,40.64778504
370,-105.57832712,40.64881391
371,-105.54626136,40.64664043
372,-105.55204001,40.64678142
373,-105.53371166,40.64600171
374,-105.58298711,40.64769693
375,-105.58324392,40.64643222
376,-105.54838578,40.64702466
377,-105.57287673,40.64727859
378,-105.56685394,40.64683463
379,-105.59054628,40.64713168
380,-105.58991627,40.64603096
381,-105.53737018,40.64556928
382,-105.59596077,40.64574062
383,-105.55681247,40.64713731
384,-105.52944427,40.64607863
385,-105.52742685,40.64600963
386,-105.55602402,40.64615605
387,-105.54406764,40.64670025
388,-105.59339448,40.64612154
389,-105.52371033,40.64572365
390,-105.54613825,40.64552921
391,-105.5309593,40.64466076
392,-105.56361317,40.64475637
393,-105.53939402,40.64474445
394,-105.55192629,40.6454194
395,-105.55491023,40.64525263
396,-105.52799894,40.64518789
397,-105.59673299,40.64455061
398,-105.55832116,40.64574939
399,-105.59384804,40.64241673
400,-105.53877502,40.64340329
401,-105.59232146,40.64341889
402,-105.58957675,40.64507285
403,-105.5300174,40.64424638
404,-105.53598857,40.64495216
405,-105.55489427,40.64401278
406,-105.54746015,40.64431565
407,-105.53259391,40.64298591
408,-105.53473351,40.64349461
409,-105.6007309,40.64420166
410,-105.55670564,40.64263723
411,-105.52508062,40.64460293
412,-105.52709694,40.64382227
413,-105.56133784,40.64391476
414,-105.52628403,40.64296096
415,-105.5527348,40.64156315
416,-105.59955732,40.64291063
417,-105.54968884,40.64236557
418,-105.54450639,40.64290588
419,-105.54735846,40.64245504
420,-105.53006827,40.64196826
421,-105.53822595,40.64122719
422,-105.52619703,40.64191314
423,-105.54423146,40.64227245
424,-105.54646842,40.64079844
425,-105.54842844,40.63904298
426,-105.53305377,40.6411133
427,-105.54200764,40.64142064
428,-105.52805611,40.64141446
429,-105.52802201,40.64078199
430,-105.53639597,40.63968435
431,-105.59504097,40.63944051
432,-105.52664546,40.64022835
433,-105.54201541,40.6397765
434,-105.5961258,40.63987893
435,-105.53367842,40.63984287
436,-105.53769511,40.63953079
437,-105.55138879,40.63999968
438,-105.53709595,40.63784141
439,-105.5449382,40.63996123
440,-105.53953745,40.63892255
441,-105.53292527,40.63805588
442,-105.52882322,40.63962208
443,-105.54510135,40.63911732
444,-105.54187793,40.63884898
445,-105.53439148,40.63857942
446,-105.53023651,40.63812889
447,-105.54366173,40.63762017
448,-105.54037663,40.63786269
449,-105.54181989,40.63711925
